arg_id	arg_text	arg_guideline	post_id	post_topic
1	"Abortion has forcibly terminated the development of over 40	000	000 unique members of our species in this country alone in the last 30 years. "	how many abortions have been terminated in that country in the last 30 years	66957	abortion1
2	"The infant doesn't have sperm	 does that mean it doesn't have a right to live? "	whether an infant has sperm or not	50208	abortion1
3	"Except that the change that causes a hydatidiform mole is not ""added"" to the zygote. "	hydatidiform mole causes	99690	abortion1
4	"SBVFT have over 250 people backing them	 who have FIRST HAND knowledge of what went on in Vietnam. "	SBVFT backing vietnam	140428	abortion1
5	A pregnancy test does not determine if one is pregnant. It shows the presence of a pregnancy at a certain point. 	reliability of pregnancy tests	187928	abortion1
6	Therefore it is illegal to kill a child once it is born. I believe it's that same point that a child becomes a citizen. 	Find out at what point a child becomes a citizen	118862	abortion1
7	"Genetically	 Down's syndrome patients are corrupt- they have too many or too little chromosones. "	whether down syndrome patients have too many or too little chromosones	50208	abortion1
8	Implantation is not a determinant of pregnancy but a step of pregnancy. 	implantation in pregnancy 	187928	abortion1
9	"I mean	 our cellular structure is ALWAYS different in the cycle of life	 and further some defected humans have different cellular structures as well	 does that mean that we can kill people of ONE kind of these structures? "	"information about our cellular structure and whether it is always different in the cycle of life	 and whether defected humans have different cellular structures"	50208	abortion1
10	Doesnâ€™t change the fact that they were losing the war. 	was the US losing the war in world war 2	53024	abortion1
11	"Contraception means ""against conception."" "	define contraception	187928	abortion1
12	That would be the first state to make abortion legal. 	history of abortion law in the US	142294	abortion1
13	"Miscarriages have happened and always will happen	 whether or not it was purposeful or not	 abortion is a recent phenomenon	 and it is the DELIBERATE	 OBVIOUS murder of an innocent human being. "	miscarriage history	187924	abortion1
14	"Miscarriages are almost never deliberate	 and sometimes not even obvious. "	causes of miscarriages	187924	abortion1
15	It is a completely unrealistic way to try to educate kids about. 	effectiveness of abstinence training when educating kids about sex	44619	abortion1
16	It was legal during my teenage years. 	history of abortion law in the US	142294	abortion1
17	"From my understanding	 the reason why abortion is dangerous is that you're prematurly opening the uterus to get the fetus ou and kill it	 and the body is already on a 9-month cycle to take care of the fetus	 and when you suddenly stop it like that it causes problems- just like premature births. "	"information on how dangerous abortion is and why it is dangerous	 specifically whether it is dangerous based off pre-maturely opening the uterus"	50208	abortion1
18	"It certainly is not legal for a rapist to get the death penalty (unless he murdered somebody)	 why on earth should it be legal for the fetus to get the death penalty for an action he didnâ€™t commit? "	legal penalty for rapist	187924	abortion1
19	"The moment the sperm attaches itself to the egg	 that is when it is living	 from the very second of conception. "	when does sperm become a living being	14869	abortion1
20	"The dividing line is brain waves. You think that when I simply say the science does not define a human being	 that is being dramatic? "	Find when fetuses start having brain waves	49426	abortion1
21	"As I sat there with my mouth open	 my mother also went on to tell me that back in the day	 the practice of self abortion was very common. "	historical abortion practices in early 20th century	142294	abortion1
22	Countries already have laws against this. 	list of countries laws against rape	187924	abortion1
23	"I am not sure about the specific point in the law	 but I certainly know that you can NOT be forced to give blood against your will and consent. "	can you be forced to give blood against your will and consent	171708	abortion1
24	"The infant only weights about 7 lbs	 verses an adult who weighs around 130. "	the average weight of an infant and an adult	50208	abortion1
